CaptureIndex,ServiceID,ServiceVersion,MessageID,MessageType,HeadSize,MessageSize,MessageEncoding,LocalTime,SeqNo,EventTime,SecurityID,MDStreamID,SecurityIDSource,TradingPhaseCode,EventType,TickBSFlag,ChannelNo,ApplicationSequence,BidApplicationSequence,OfferApplicationSequence,Side,OrderType,ExecutionType,Price,Quantity,TradeCount,Volume,Turnover,PreClosePrice,OpenPrice,HighPrice,LowPrice,LastPrice,TotalBidQuantity,WeightedAverageBidPrice,TotalOfferQuantity,WeightedAverageOfferPrice
0,4,101,4,SHL2MarketData,23,1228,1,16:26:32.846,14885333,16:26:32.000,600523,,,,ENDTR,,,,,,,,,,,10700,6207231.000,69512920.71000,11.210,11.180,11.390,11.050,11.180,572500.000,10.987,453400.000,11.628
1,4,101,4,SHL2MarketData,23,1660,1,16:26:32.846,14885334,16:26:32.000,600816,,,,ENDTR,,,,,,,,,,,49621,121223422.000,302478858.84000,2.420,2.420,2.550,2.420,2.500,9673828.000,2.442,13553914.000,2.590
2,4,101,4,SHL2MarketData,23,1004,1,16:26:32.846,14885335,16:26:32.000,600692,,,,ENDTR,,,,,,,,,,,12249,9272500.000,48588711.00000,5.360,5.380,5.400,5.080,5.270,636200.000,5.145,898000.000,5.617
3,4,101,4,SHL2MarketData,23,2444,1,16:26:32.846,14885336,16:26:32.000,600666,,,,ENDTR,,,,,,,,,,,72518,148151870.000,446876961.10000,3.050,3.050,3.160,2.810,3.150,8249760.000,2.978,11053700.000,3.273
4,4,101,4,SHL2MarketData,23,1564,1,16:26:32.846,14885337,16:26:32.000,600969,,,,ENDTR,,,,,,,,,,,24739,26233724.000,215335689.32000,8.870,8.550,8.560,7.980,8.230,949300.000,8.107,1961380.000,9.020
5,4,101,4,SHL2MarketData,23,972,1,16:26:32.846,14885338,16:26:32.000,601825,,,,ENDTR,,,,,,,,,,,44947,46041862.000,379695476.60000,8.290,8.210,8.400,8.080,8.220,935600.000,8.080,2427651.000,8.536
6,4,101,4,SHL2MarketData,23,1364,1,16:26:32.846,14885339,16:26:32.000,603663,,,,ENDTR,,,,,,,,,,,65913,19342140.000,766360009.95000,38.180,39.330,42.000,37.010,42.000,3760124.000,41.750,0.000,0.000
7,4,101,4,SHL2MarketData,23,1228,1,16:26:32.846,14885340,16:26:32.000,515030,,,,ENDTR,,,,,,,,,,,15614,90367800.000,140487110.30000,1.517,1.520,1.582,1.517,1.579,3747500.000,1.559,4362900.000,1.594
8,4,101,4,SHL2MarketData,23,1052,1,16:26:32.846,14885341,16:26:32.000,601225,,,,ENDTR,,,,,,,,,,,153607,81285932.000,1965085891.35000,25.000,24.700,25.050,23.800,23.980,486600.000,23.540,2041676.000,25.432
9,4,101,4,SHL2MarketData,23,988,1,16:26:32.846,14885342,16:26:32.000,603355,,,,ENDTR,,,,,,,,,,,10085,2914724.000,72917860.65000,24.770,24.970,25.500,24.390,25.380,104400.000,24.364,183000.000,26.280
10,4,101,4,SHL2MarketData,23,908,1,16:26:32.846,14885343,16:26:32.000,603189,,,,ENDTR,,,,,,,,,,,2904,4259961.000,34430184.56000,8.110,8.500,8.500,7.740,8.290,212200.000,7.979,681500.000,8.734
11,4,101,4,SHL2MarketData,23,924,1,16:26:32.846,14885344,16:26:32.000,603577,,,,ENDTR,,,,,,,,,,,14068,12184940.000,106714955.20000,9.200,9.290,9.320,8.280,9.100,313300.000,8.685,381100.000,9.650
12,4,101,4,SHL2MarketData,23,876,1,16:26:32.846,14885345,16:26:32.000,515920,,,,ENDTR,,,,,,,,,,,349,6012700.000,7197553.00000,1.189,1.189,1.268,1.170,1.265,877900.000,1.216,374200.000,1.269
13,4,101,4,SHL2MarketData,23,1868,1,16:26:32.846,14885346,16:26:32.000,603687,,,,ENDTR,,,,,,,,,,,42027,35122726.000,429849971.57000,12.300,12.150,13.490,11.190,12.690,885600.000,12.058,1856200.000,13.272
14,4,101,4,SHL2MarketData,23,1596,1,16:26:32.846,14885347,16:26:32.000,600956,,,,ENDTR,,,,,,,,,,,22548,15822571.000,114857428.56000,7.300,7.230,7.340,7.150,7.300,895200.000,7.181,1561890.000,7.662
15,4,101,4,SHL2MarketData,23,892,1,16:26:32.846,14885348,16:26:32.000,688659,,,,ENDTR,,,,,,,,,,,7421,4841945.000,38194629.57000,8.150,8.050,8.290,7.420,8.220,164111.000,7.734,221214.000,8.595
16,4,101,4,SHL2MarketData,23,624,1,16:26:32.846,14885349,16:26:32.000,501213,,,,ENDTR,,,,,,,,,,,0,0.000,0.00000,0.918,0.000,0.000,0.000,0.000,1500.000,0.901,29700.000,0.998
